total_score,game_duration,p_green_bands,aver_time,green_steps_min,band_gain_min,n_stars,points_per_star,n_hh_average,n_overkill_average,condition,n_game,subject
56,6.85,50.93,13.05,20.46,-2.53,20,2.8,0.45,1.15,qm,1,18KK
1687,10.82,71.68,21.7,16.73,4.42,20,84.35,1.4,2.2,qm,2,18KK
255,5.7,47.22,10.95,22.47,-6.3,20,12.75,0.2,1.05,qm,3,18KK
3003,6.75,82.14,13.95,28.39,17.42,20,150.15,0.6,0.55,im,1,19VB
3913,8.33,98.21,17.55,25.64,15.9,20,195.65,0.9,2.0,im,2,19VB
2176,5.23,72.32,10.1,33.56,11.88,20,108.8,0.1,0.75,im,3,19VB
3465,5.1,89.19,10.45,38.47,23.83,20,173.25,0.15,0.75,qm,1,19VB
3820,6.17,93.75,12.8,32.81,20.62,20,191.0,0.4,1.05,qm,2,19VB
3668,5.35,88.7,10.8,39.17,25.0,20,183.4,0.15,0.85,qm,3,19VB
1617,10.12,61.4,16.7,18.86,5.03,20,80.85,0.95,0.45,im,1,20EC
505,9.23,50.44,17.05,16.19,-2.29,20,25.25,0.9,1.25,im,2,20EC
2243,8.22,61.47,15.65,21.09,6.71,20,112.15,0.8,0.85,im,3,20EC
946,7.75,51.33,14.15,19.51,1.06,20,47.3,0.65,0.3,qm,1,20EC
1789,7.85,87.27,31.9,13.92,9.97,10,178.9,2.8,1.1,qm,2,20EC
-351,12.42,38.94,21.6,11.39,-2.78,20,-17.55,1.55,0.55,qm,3,20EC
1605,6.0,69.72,11.4,29.74,12.11,20,80.25,0.3,0.6,im,1,21EC
3482,10.23,85.98,14.53,29.35,19.57,19,183.26,0.63,0.95,im,2,21EC
1603,12.73,73.68,22.45,15.5,5.21,20,80.15,1.6,1.15,im,3,21EC
2401,13.03,76.32,25.4,14.41,5.67,20,120.05,1.95,1.15,qm,1,21EC
1202,6.93,60.53,14.2,21.55,3.38,20,60.1,0.6,0.7,qm,2,21EC
3064,5.5,79.46,10.5,36.0,21.14,20,153.2,0.2,0.3,qm,3,21EC
3424,11.77,88.7,20.95,20.62,12.17,20,171.2,1.35,1.45,im,1,22ES
3609,9.88,86.84,17.1,24.56,15.79,20,180.45,0.95,0.85,im,2,22ES
