subject,condition,n_game,event,n_step,deviation,norm_dev
02ES,im,2,blast_step_6,7,69.74,29.35
02ES,im,2,blast_step_7,8,75.51,11.32
02ES,im,2,blast_step_8,9,64.44,37.7
02ES,im,2,overkill_step,10,60.88,15.21
02ES,im,2,activate_star,1,43.4,9.93
02ES,im,2,blast_step_2,2,44.45,9.43
02ES,im,2,blast_step_3,3,50.69,14.79
02ES,im,2,blast_step_4,4,45.62,10.68
02ES,im,2,blast_step_5,5,60.65,29.7
02ES,im,2,blast_step_6,6,58.97,36.86
02ES,im,2,blast_step_7,7,66.87,81.11
02ES,im,2,blast_step_8,8,75.52,96.31
02ES,im,2,overkill_step,9,75.34,61.55
02ES,im,2,activate_star,1,40.58,8.56
02ES,im,2,blast_step_1,2,46.4,6.95
02ES,im,2,blast_step_2,3,45.99,5.87
02ES,im,2,blast_step_3,4,44.38,12.52
02ES,im,2,blast_step_4,5,46.3,8.18
02ES,im,2,blast_step_5,6,54.74,8.11
02ES,im,2,blast_step_6,7,80.21,33.45
02ES,im,2,blast_step_7,8,58.63,15.02
02ES,im,2,blast_step_8,9,35.11,24.58
02ES,im,2,overkill_step,10,21.3,31.08
02ES,im,2,activate_star,1,21.27,10.4
02ES,im,2,blast_step_1,2,27.11,9.97
02ES,im,2,blast_step_2,3,31.98,18.25
02ES,im,2,blast_step_3,4,28.54,29.61
02ES,im,2,blast_step_4,5,44.59,43.62
02ES,im,2,blast_step_5,6,60.72,57.0
02ES,im,2,blast_step_6,7,34.77,35.6
02ES,im,2,blast_step_7,8,39.83,43.35
02ES,im,2,blast_step_8,9,84.85,81.63
02ES,im,2,overkill_step,10,44.44,32.32
02ES,im,2,overkill_step,11,36.26,18.74
02ES,im,2,activate_star,1,52.35,14.26
02ES,im,2,blast_step_2,2,35.42,14.68
02ES,im,2,blast_step_3,3,39.63,21.85
02ES,im,2,blast_step_4,4,56.8,27.52
02ES,im,2,blast_step_5,5,38.01,32.37
02ES,im,2,blast_step_6,6,67.89,55.42
02ES,im,2,blast_step_7,7,72.69,46.27
02ES,im,2,blast_step_8,8,71.7,37.15
02ES,im,2,overkill_step,9,40.96,19.89
02ES,im,2,activate_star,1,47.63,12.93
02ES,im,2,blast_step_1,2,43.96,6.14
02ES,im,2,blast_step_2,3,51.32,15.46
02ES,im,2,blast_step_3,4,55.79,15.95
02ES,im,2,blast_step_4,5,57.71,18.47
02ES,im,2,blast_step_5,6,47.92,12.24
02ES,im,2,blast_step_6,7,82.82,44.32
02ES,im,2,blast_step_7,8,87.04,51.5
02ES,im,2,blast_step_8,9,93.99,60.37
02ES,im,2,overkill_step,10,55.52,22.11
02ES,im,2,overkill_step,11,30.32,19.26
02ES,im,2,activate_star,1,19.61,12.3
02ES,im,2,blast_step_1,2,13.93,7.63
02ES,im,2,blast_step_2,3,19.5,12.01
02ES,im,2,blast_step_3,4,27.7,19.77
02ES,im,2,blast_step_4,5,18.52,10.01
02ES,im,2,blast_step_5,6,26.32,17.59
02ES,im,2,blast_step_6,7,23.65,18.11
02ES,im,2,blast_step_7,8,53.56,61.27
02ES,im,2,blast_step_8,9,73.09,80.91
02ES,im,2,overkill_step,10,79.4,87.26
02ES,im,2,activate_star,1,43.04,18.94
02ES,im,2,blast_step_1,2,50.08,36.26
02ES,im,2,blast_step_2,3,49.66,27.89
02ES,im,2,blast_step_3,4,58.99,27.63
02ES,im,2,blast_step_4,5,54.44,24.35
02ES,im,2,blast_step_5,6,38.95,25.93
02ES,im,2,blast_step_6,7,25.93,6.77
02ES,im,2,blast_step_7,8,44.47,20.33
02ES,im,2,blast_step_8,9,46.89,67.24
02ES,im,2,overkill_step,10,61.72,80.79
02ES,im,2,activate_star,1,28.4,20.28
02ES,im,2,blast_step_2,2,31.12,6.7
02ES,im,2,blast_step_3,3,18.68,14.4
02ES,im,2,blast_step_4,4,29.57,5.88
02ES,im,2,blast_step_5,5,31.66,9.33
02ES,im,2,blast_step_6,6,31.97,29.6
02ES,im,2,blast_step_7,7,32.07,18.49
02ES,im,2,blast_step_8,8,39.44,9.72
02ES,im,2,overkill_step,9,112.65,85.64
02ES,im,3,blast_step_1,2,71.05,
02ES,im,3,blast_step_2,3,40.68,
02ES,im,3,blast_step_3,4,51.15,
02ES,im,3,blast_step_4,5,48.08,
02ES,im,3,blast_step_5,6,42.52,
02ES,im,3,blast_step_6,7,37.07,
02ES,im,3,blast_step_7,8,76.99,
02ES,im,3,blast_step_8,9,87.91,
02ES,im,3,overkill_step,10,97.02,
02ES,im,3,activate_star,1,52.98,18.53
02ES,im,3,blast_step_1,2,54.88,16.26
02ES,im,3,blast_step_2,3,33.31,34.67
02ES,im,3,blast_step_3,4,33.08,30.06
02ES,im,3,blast_step_4,5,53.08,13.63
02ES,im,3,blast_step_5,6,35.04,27.13
02ES,im,3,blast_step_6,7,46.2,23.95
02ES,im,3,blast_step_7,8,57.45,45.0
02ES,im,3,blast_step_8,9,52.72,69.04
02ES,im,3,overkill_step,10,61.13,11.73
02ES,im,3,overkill_step,11,67.78,15.68
02ES,im,3,activate_star,1,40.92,23.63
02ES,im,3,blast_step_1,2,20.0,4.0
02ES,im,3,blast_step_2,3,33.93,19.22
02ES,im,3,blast_step_3,4,58.71,41.62
02ES,im,3,blast_step_4,5,64.4,47.84
02ES,im,3,blast_step_5,6,69.42,52.09
02ES,im,3,blast_step_6,7,72.12,54.54
02ES,im,3,blast_step_7,8,74.62,57.35
02ES,im,3,blast_step_8,9,60.8,43.27
02ES,im,3,overkill_step,10,46.45,28.95
02ES,im,3,overkill_step,11,52.46,36.37
02ES,im,3,activate_star,1,18.76,22.44
02ES,im,3,blast_step_2,2,13.35,9.63
02ES,im,3,blast_step_3,3,17.8,27.4
02ES,im,3,blast_step_4,4,21.82,30.92
02ES,im,3,blast_step_5,5,39.34,41.31
02ES,im,3,blast_step_6,6,20.06,21.3
02ES,im,3,blast_step_7,7,20.15,23.33
02ES,im,3,blast_step_8,8,72.69,62.96
02ES,im,3,overkill_step,9,21.54,25.17
02ES,im,3,activate_star,1,47.25,19.68
02ES,im,3,blast_step_1,2,44.44,9.8
02ES,im,3,blast_step_2,3,55.81,21.68
02ES,im,3,blast_step_3,4,51.35,20.93
02ES,im,3,blast_step_4,5,50.69,49.44
02ES,im,3,blast_step_5,6,38.18,34.17
02ES,im,3,blast_step_6,7,45.62,31.76
02ES,im,3,blast_step_7,8,44.2,34.77
02ES,im,3,blast_step_8,9,43.56,40.07
02ES,im,3,overkill_step,10,32.88,36.58
02ES,im,3,activate_star,1,31.55,6.18
02ES,im,3,blast_step_2,2,23.0,7.32
02ES,im,3,blast_step_3,3,19.34,17.65
02ES,im,3,blast_step_4,4,21.32,12.54
02ES,im,3,blast_step_5,5,26.46,12.93
02ES,im,3,blast_step_6,6,18.49,12.32
02ES,im,3,blast_step_7,7,46.91,38.21
02ES,im,3,blast_step_8,8,80.6,102.29
02ES,im,3,overkill_step,9,22.85,15.5
02ES,im,3,activate_star,1,20.88,18.28
02ES,im,3,blast_step_2,2,28.52,10.55
02ES,im,3,blast_step_3,3,32.6,19.74
02ES,im,3,blast_step_4,4,36.26,21.8
02ES,im,3,blast_step_5,5,52.43,21.85
02ES,im,3,blast_step_6,6,88.89,55.39
02ES,im,3,blast_step_7,7,107.24,74.42
02ES,im,3,blast_step_8,8,111.95,80.98
02ES,im,3,overkill_step,9,70.14,38.76
02ES,im,3,activate_star,1,19.96,4.75
02ES,im,3,blast_step_2,2,22.93,4.74
02ES,im,3,blast_step_3,3,12.84,8.8
02ES,im,3,blast_step_4,4,12.34,10.79
02ES,im,3,blast_step_5,5,36.34,34.4
02ES,im,3,blast_step_6,6,38.84,19.22
02ES,im,3,blast_step_7,7,36.36,27.14
02ES,im,3,blast_step_8,8,45.17,42.06
02ES,im,3,overkill_step,9,49.5,35.07
02ES,im,3,activate_star,1,48.09,16.29
02ES,im,3,blast_step_2,2,42.98,10.25
02ES,im,3,blast_step_3,3,41.16,27.28
02ES,im,3,blast_step_4,4,57.68,25.12
02ES,im,3,blast_step_5,5,70.0,42.45
02ES,im,3,blast_step_6,6,70.81,42.33
02ES,im,3,blast_step_7,7,57.37,40.48
02ES,im,3,blast_step_8,8,83.89,52.97
02ES,im,3,overkill_step,9,65.33,98.78
02ES,im,3,overkill_step,10,79.38,108.87
02ES,im,3,activate_star,1,14.94,7.72
02ES,im,3,blast_step_1,2,12.52,5.0
02ES,im,3,blast_step_2,3,15.85,8.96
02ES,im,3,blast_step_3,4,13.52,6.41
02ES,im,3,blast_step_4,5,15.03,14.31
02ES,im,3,blast_step_5,6,17.91,20.26
02ES,im,3,blast_step_6,7,31.35,26.82
02ES,im,3,blast_step_7,8,48.14,45.67
02ES,im,3,blast_step_8,9,72.04,70.04
02ES,im,3,overkill_step,10,69.59,70.73
02ES,im,3,activate_star,1,27.62,5.99
02ES,im,3,blast_step_2,2,22.71,6.14
02ES,im,3,blast_step_3,3,30.55,6.31
02ES,im,3,blast_step_4,4,27.75,8.06
02ES,im,3,blast_step_5,5,25.91,10.29
02ES,im,3,blast_step_6,6,31.48,13.01
02ES,im,3,blast_step_7,7,27.79,19.6
02ES,im,3,blast_step_8,8,37.34,13.92
02ES,im,3,overkill_step,9,33.5,8.4
02ES,im,3,overkill_step,10,36.64,14.23
02ES,im,3,activate_star,1,35.58,12.26
02ES,im,3,blast_step_1,2,30.91,9.16
02ES,im,3,blast_step_2,3,28.2,19.51
02ES,im,3,blast_step_3,4,29.83,27.27
02ES,im,3,blast_step_4,5,33.24,31.24
02ES,im,3,blast_step_5,6,30.21,30.78
02ES,im,3,blast_step_6,7,22.86,27.57
02ES,im,3,blast_step_7,8,52.05,64.5
02ES,im,3,blast_step_8,9,59.69,77.22
02ES,im,3,overkill_step,10,27.87,13.31
02ES,im,3,activate_star,1,12.05,10.87
02ES,im,3,blast_step_3,4,14.3,4.63
02ES,im,3,blast_step_4,5,18.86,10.28
02ES,im,3,blast_step_5,6,15.67,16.77
02ES,im,3,blast_step_6,7,18.83,10.56
02ES,im,3,blast_step_7,8,12.51,17.92
02ES,im,3,blast_step_8,9,75.43,71.78
02ES,im,3,overkill_step,10,81.51,72.25
02ES,im,3,activate_star,1,54.37,23.71
02ES,im,3,blast_step_2,2,31.04,4.43
02ES,im,3,blast_step_3,3,21.6,24.91
02ES,im,3,blast_step_4,4,29.74,44.97
02ES,im,3,blast_step_5,5,41.77,63.05
02ES,im,3,blast_step_6,6,58.31,79.28
02ES,im,3,blast_step_7,7,62.86,80.61
02ES,im,3,blast_step_8,8,52.33,64.45
02ES,im,3,overkill_step,9,44.48,63.32
02ES,im,3,overkill_step,10,61.5,80.17
02ES,im,3,activate_star,1,20.99,12.79
02ES,im,3,blast_step_1,2,21.93,13.51
02ES,im,3,blast_step_3,4,25.76,25.83
02ES,im,3,blast_step_4,5,32.04,32.82
02ES,im,3,blast_step_5,6,39.45,36.4
02ES,im,3,blast_step_6,7,44.43,44.27
02ES,im,3,blast_step_7,8,56.93,55.95
02ES,im,3,blast_step_8,9,67.01,67.61
02ES,im,3,overkill_step,10,74.78,75.83
02ES,im,3,overkill_step,11,75.23,73.82
02ES,im,3,activate_star,1,25.12,8.01
02ES,im,3,blast_step_1,2,26.18,3.77
02ES,im,3,blast_step_2,3,27.46,9.82
02ES,im,3,blast_step_3,4,24.16,14.18
02ES,im,3,blast_step_4,5,22.45,21.41
02ES,im,3,blast_step_5,6,37.87,32.33
02ES,im,3,blast_step_6,7,38.58,36.36
02ES,im,3,blast_step_7,8,47.18,49.28
02ES,im,3,blast_step_8,9,61.13,68.96
02ES,im,3,overkill_step,10,91.73,78.71
02ES,im,3,activate_star,1,17.26,15.18
02ES,im,3,blast_step_2,2,23.58,4.92
02ES,im,3,blast_step_3,3,21.77,5.69
02ES,im,3,blast_step_4,4,17.87,7.18
02ES,im,3,blast_step_5,5,29.1,18.95
02ES,im,3,blast_step_6,6,45.38,33.71
02ES,im,3,blast_step_7,7,51.39,44.84
02ES,im,3,blast_step_8,8,45.91,57.89
02ES,im,3,overkill_step,9,58.41,78.54
02ES,im,3,activate_star,1,15.21,23.06
02ES,im,3,blast_step_2,2,24.55,19.51
02ES,im,3,blast_step_3,3,12.38,22.42
02ES,im,3,blast_step_4,4,26.72,28.57
02ES,im,3,blast_step_5,5,29.05,31.22
02ES,im,3,blast_step_6,6,38.81,30.71
02ES,im,3,blast_step_7,7,53.46,40.61
02ES,im,3,blast_step_8,8,77.87,63.71
02ES,im,3,overkill_step,9,79.62,66.4
02ES,im,3,activate_star,1,35.63,15.95
02ES,im,3,blast_step_1,2,47.49,15.79
02ES,im,3,blast_step_2,3,26.52,31.1
02ES,im,3,blast_step_3,4,45.43,21.15
02ES,im,3,blast_step_4,5,55.26,18.15
02ES,im,3,blast_step_5,6,61.56,22.69
02ES,im,3,blast_step_6,7,41.96,30.26
02ES,im,3,blast_step_7,8,78.06,33.29
02ES,im,3,blast_step_8,9,83.68,39.98
02ES,im,3,overkill_step,10,53.02,41.55
02ES,im,3,overkill_step,11,37.26,26.6
02ES,qm,1,overkill_step,10,116.33,
02ES,qm,1,activate_star,1,23.0,40.7
02ES,qm,1,blast_step_1,2,33.99,11.04
02ES,qm,1,blast_step_2,3,39.24,32.11
02ES,qm,1,blast_step_3,4,52.86,45.21
02ES,qm,1,blast_step_4,5,37.69,25.54
02ES,qm,1,blast_step_5,6,51.03,21.84
02ES,qm,1,blast_step_6,7,50.32,36.19
02ES,qm,1,blast_step_7,8,51.23,37.75
02ES,qm,1,blast_step_8,9,77.73,63.31
02ES,qm,1,overkill_step,10,48.29,55.83
02ES,qm,1,activate_star,1,34.22,17.41
02ES,qm,1,blast_step_1,2,28.8,11.87
02ES,qm,1,blast_step_2,3,12.98,27.31
02ES,qm,1,blast_step_3,4,23.08,16.91
02ES,qm,1,blast_step_4,5,40.52,7.96
02ES,qm,1,blast_step_5,6,35.23,16.74
02ES,qm,1,blast_step_6,7,75.2,47.0
02ES,qm,1,blast_step_7,8,28.06,23.83
02ES,qm,1,blast_step_8,9,24.2,30.79
02ES,qm,1,overkill_step,10,34.07,36.97
02ES,qm,1,activate_star,1,23.72,22.7
02ES,qm,1,blast_step_2,2,34.95,14.78
02ES,qm,1,blast_step_3,3,52.91,25.93
02ES,qm,1,blast_step_4,4,50.88,20.25
02ES,qm,1,blast_step_5,5,46.99,17.58
02ES,qm,1,blast_step_6,6,58.74,36.09
02ES,qm,1,blast_step_7,7,57.34,32.64
02ES,qm,1,blast_step_8,8,41.45,17.5
02ES,qm,1,overkill_step,9,21.93,31.01
02ES,qm,1,overkill_step,10,32.52,59.69
02ES,qm,1,activate_star,1,42.61,13.3
02ES,qm,1,blast_step_2,2,53.44,10.51
02ES,qm,1,blast_step_3,3,60.85,16.04
02ES,qm,1,blast_step_4,4,64.54,23.45
02ES,qm,1,blast_step_5,5,49.79,17.39
02ES,qm,1,blast_step_6,6,27.8,23.43
02ES,qm,1,blast_step_7,7,64.34,21.25
02ES,qm,1,blast_step_8,8,56.31,17.39
02ES,qm,1,overkill_step,9,39.67,15.16
02ES,qm,1,activate_star,1,18.67,6.96
02ES,qm,1,blast_step_2,2,14.21,7.78
02ES,qm,1,blast_step_3,3,13.1,9.4
02ES,qm,1,blast_step_4,4,21.09,9.27
02ES,qm,1,blast_step_5,5,23.55,5.6
02ES,qm,1,blast_step_6,6,68.03,47.83
02ES,qm,1,blast_step_7,7,66.51,47.07
02ES,qm,1,blast_step_8,8,28.71,14.6
02ES,qm,1,overkill_step,9,18.12,24.85
02ES,qm,1,activate_star,1,46.36,9.2
02ES,qm,1,blast_step_2,2,49.79,4.02
02ES,qm,1,blast_step_3,3,48.24,11.82
02ES,qm,1,blast_step_4,4,42.82,8.65
02ES,qm,1,blast_step_5,5,49.64,4.72
02ES,qm,1,blast_step_6,6,71.39,21.63
02ES,qm,1,blast_step_7,7,76.68,27.72
02ES,qm,1,blast_step_8,8,74.6,24.56
02ES,qm,1,overkill_step,9,52.96,22.75
02ES,qm,1,blast_step_3,4,12.21,13.2
02ES,qm,1,blast_step_4,5,19.26,21.01
02ES,qm,1,blast_step_5,6,22.21,24.85
02ES,qm,1,blast_step_6,7,17.74,20.11
02ES,qm,1,blast_step_7,8,50.01,49.77
02ES,qm,1,blast_step_8,9,60.47,60.97
02ES,qm,1,overkill_step,10,66.07,67.61
02ES,qm,1,activate_star,1,17.4,14.45
02ES,qm,1,blast_step_3,4,27.82,18.0
02ES,qm,1,blast_step_4,5,27.61,21.19
02ES,qm,1,blast_step_5,6,30.76,17.74
02ES,qm,1,blast_step_6,7,29.74,18.25
02ES,qm,1,blast_step_7,8,55.38,43.42
02ES,qm,1,blast_step_8,9,68.01,67.86
02ES,qm,1,overkill_step,10,74.25,86.06
02ES,qm,1,activate_star,1,75.7,10.03
02ES,qm,1,blast_step_2,2,80.1,8.82
02ES,qm,1,blast_step_3,3,83.4,12.24
02ES,qm,1,blast_step_4,4,95.3,25.9
02ES,qm,1,blast_step_5,5,81.51,13.12
02ES,qm,1,blast_step_6,6,105.06,34.16
02ES,qm,1,blast_step_7,7,160.07,93.16
02ES,qm,1,blast_step_8,8,192.0,117.95
02ES,qm,1,overkill_step,9,184.32,111.82
02ES,qm,1,activate_star,1,55.5,27.49
02ES,qm,1,blast_step_1,2,47.52,16.4
02ES,qm,1,blast_step_2,3,56.67,15.37
02ES,qm,1,blast_step_3,4,75.36,27.27
02ES,qm,1,blast_step_4,5,89.37,41.6
02ES,qm,1,blast_step_5,6,71.91,28.49
02ES,qm,1,blast_step_6,7,62.86,22.1
02ES,qm,1,blast_step_7,8,103.15,53.75
02ES,qm,1,blast_step_8,9,154.79,105.79
02ES,qm,1,overkill_step,10,167.14,118.2
02ES,qm,1,overkill_step,11,195.84,244.66
02ES,qm,1,overkill_step,12,251.68,295.88
02ES,qm,1,activate_star,1,27.75,13.66
02ES,qm,1,blast_step_2,2,26.73,7.41
02ES,qm,1,blast_step_3,3,26.79,20.79
02ES,qm,1,blast_step_4,4,37.91,15.7
02ES,qm,1,blast_step_5,5,50.37,23.35
02ES,qm,1,blast_step_6,6,87.1,59.5
02ES,qm,1,blast_step_7,7,109.18,82.35
02ES,qm,1,blast_step_8,8,126.88,100.0
02ES,qm,1,overkill_step,9,55.68,78.51
02ES,qm,1,blast_step_1,2,12.11,6.2
02ES,qm,1,blast_step_3,4,36.61,46.01
02ES,qm,1,blast_step_4,5,68.22,77.64
02ES,qm,1,blast_step_5,6,101.18,110.44
02ES,qm,1,blast_step_6,7,133.02,142.49
02ES,qm,1,blast_step_7,8,126.02,135.51
02ES,qm,1,blast_step_8,9,140.89,149.95
02ES,qm,1,overkill_step,10,141.31,150.72
02ES,qm,1,overkill_step,11,150.78,159.65
02ES,qm,1,overkill_step,12,156.85,165.62
02ES,qm,1,overkill_step,13,169.44,178.67
02ES,qm,1,activate_star,1,57.04,21.64
02ES,qm,1,blast_step_2,2,66.8,14.78
02ES,qm,1,blast_step_3,3,69.48,16.35
02ES,qm,1,blast_step_4,4,66.27,14.92
02ES,qm,1,blast_step_5,5,59.19,9.63
02ES,qm,1,blast_step_6,6,39.93,34.16
02ES,qm,1,blast_step_7,7,59.35,10.1
02ES,qm,1,blast_step_8,8,40.61,39.69
02ES,qm,1,overkill_step,9,16.89,58.46
02ES,qm,1,overkill_step,10,31.32,36.72
02ES,qm,1,activate_star,1,15.45,28.73
02ES,qm,1,blast_step_1,2,39.98,6.62
02ES,qm,1,blast_step_2,3,39.86,17.84
02ES,qm,1,blast_step_3,4,31.19,32.3
02ES,qm,1,blast_step_4,5,43.08,43.71
02ES,qm,1,blast_step_5,6,55.56,57.66
02ES,qm,1,blast_step_6,7,61.02,30.13
02ES,qm,1,blast_step_7,8,115.56,76.21
02ES,qm,1,blast_step_8,9,119.99,82.99
02ES,qm,1,overkill_step,10,113.43,74.84
02ES,qm,1,activate_star,1,60.17,16.42
02ES,qm,1,blast_step_2,2,69.09,7.57
02ES,qm,1,blast_step_3,3,57.29,11.89
02ES,qm,1,blast_step_4,4,58.5,18.58
02ES,qm,1,blast_step_5,5,65.66,16.09
02ES,qm,1,blast_step_6,6,56.09,19.39
02ES,qm,1,blast_step_7,7,81.21,17.98
02ES,qm,1,blast_step_8,8,128.2,66.41
02ES,qm,1,overkill_step,9,76.65,66.79
02ES,qm,1,activate_star,1,27.53,23.19
02ES,qm,1,blast_step_1,2,46.67,4.81
02ES,qm,1,blast_step_2,3,53.36,13.17
02ES,qm,1,blast_step_3,4,71.05,23.73
02ES,qm,1,blast_step_4,5,48.72,8.91
02ES,qm,1,blast_step_5,6,61.57,14.24
02ES,qm,1,blast_step_6,7,60.98,16.66
02ES,qm,1,blast_step_7,8,64.99,38.25
02ES,qm,1,blast_step_8,9,73.29,46.91
02ES,qm,1,overkill_step,10,64.44,38.4
02ES,qm,1,overkill_step,11,23.26,32.02
02ES,qm,1,blast_step_1,2,13.96,12.91
02ES,qm,1,blast_step_2,3,40.1,39.34
02ES,qm,1,blast_step_3,4,20.82,20.77
02ES,qm,1,blast_step_4,5,40.0,40.51
02ES,qm,1,blast_step_5,6,30.62,32.19
02ES,qm,1,blast_step_6,7,18.8,19.89
02ES,qm,1,blast_step_7,8,20.52,20.72
02ES,qm,1,blast_step_8,9,39.7,39.46
02ES,qm,1,overkill_step,10,45.71,45.56
02ES,qm,1,activate_star,1,30.88,18.09
02ES,qm,1,blast_step_1,2,21.82,11.7
02ES,qm,1,blast_step_2,3,29.93,17.94
02ES,qm,1,blast_step_3,4,30.24,20.49
02ES,qm,1,blast_step_4,5,15.79,11.82
02ES,qm,1,blast_step_5,6,13.51,18.96
02ES,qm,1,blast_step_7,8,59.54,57.71
02ES,qm,1,blast_step_8,9,52.04,51.08
02ES,qm,1,overkill_step,10,76.45,65.52
02ES,qm,1,blast_step_2,2,25.96,10.82
02ES,qm,1,blast_step_3,3,19.25,9.2
02ES,qm,1,blast_step_4,4,27.53,15.53
02ES,qm,1,blast_step_5,5,39.15,25.14
02ES,qm,1,blast_step_6,6,65.8,54.24
02ES,qm,1,blast_step_7,7,77.99,68.17
02ES,qm,1,blast_step_8,8,93.74,79.41
02ES,qm,1,overkill_step,9,84.19,68.76
02ES,qm,2,activate_star,1,33.9,27.34
02ES,qm,2,blast_step_2,2,31.42,11.78
02ES,qm,2,blast_step_3,3,35.61,12.63
02ES,qm,2,blast_step_4,4,29.46,18.97
02ES,qm,2,blast_step_5,5,52.45,21.33
02ES,qm,2,blast_step_6,6,43.23,23.54
02ES,qm,2,blast_step_7,7,39.97,13.76
02ES,qm,2,blast_step_8,8,59.97,36.46
02ES,qm,2,overkill_step,9,66.61,41.16
02ES,qm,2,overkill_step,10,37.13,34.05
02ES,qm,2,overkill_step,11,15.56,30.26
02ES,qm,2,overkill_step,12,14.03,32.62
02ES,qm,2,activate_star,1,39.6,6.29
02ES,qm,2,blast_step_1,2,33.58,11.12
02ES,qm,2,blast_step_2,3,41.47,16.24
02ES,qm,2,blast_step_3,4,45.26,30.15
02ES,qm,2,blast_step_4,5,43.7,29.05
02ES,qm,2,blast_step_5,6,45.39,38.49
02ES,qm,2,blast_step_6,7,46.7,35.56
02ES,qm,2,blast_step_7,8,31.33,22.64
02ES,qm,2,blast_step_8,9,49.99,74.09
02ES,qm,2,overkill_step,10,23.1,31.37
02ES,qm,2,overkill_step,11,19.55,27.2
02ES,qm,2,activate_star,1,26.45,23.55
02ES,qm,2,blast_step_1,2,31.22,13.37
02ES,qm,2,blast_step_2,3,36.21,30.95
02ES,qm,2,blast_step_3,4,30.9,20.2
02ES,qm,2,blast_step_4,5,27.7,18.45
02ES,qm,2,blast_step_5,6,23.59,14.66
02ES,qm,2,blast_step_6,7,40.49,53.56
02ES,qm,2,blast_step_7,8,36.68,57.15
02ES,qm,2,blast_step_8,9,45.73,77.28
02ES,qm,2,overkill_step,10,54.59,83.32
02ES,qm,2,activate_star,1,25.07,11.39
02ES,qm,2,blast_step_1,2,52.99,21.23
02ES,qm,2,blast_step_2,3,48.03,17.6
02ES,qm,2,blast_step_3,4,50.88,23.12
02ES,qm,2,blast_step_4,5,43.49,14.14
02ES,qm,2,blast_step_5,6,35.46,18.7
02ES,qm,2,blast_step_6,7,35.36,32.62
02ES,qm,2,blast_step_7,8,51.42,44.72
02ES,qm,2,blast_step_8,9,38.08,64.93
02ES,qm,2,overkill_step,10,23.49,12.18
02ES,qm,2,activate_star,1,43.02,18.4
02ES,qm,2,blast_step_1,2,47.72,11.57
02ES,qm,2,blast_step_2,3,55.19,41.74
02ES,qm,2,blast_step_3,4,66.63,42.87
02ES,qm,2,blast_step_4,5,70.7,44.17
02ES,qm,2,blast_step_5,6,72.59,52.55
02ES,qm,2,blast_step_6,7,30.4,18.0
02ES,qm,2,blast_step_7,8,21.62,57.48
02ES,qm,2,blast_step_8,9,24.42,65.39
02ES,qm,2,overkill_step,10,46.87,67.69
02ES,qm,2,overkill_step,11,28.87,29.81
02ES,qm,2,activate_star,1,42.89,8.3
02ES,qm,2,blast_step_2,2,43.8,16.66
02ES,qm,2,blast_step_3,3,53.93,25.9
02ES,qm,2,blast_step_4,4,48.95,11.27
02ES,qm,2,blast_step_5,5,47.83,13.79
02ES,qm,2,blast_step_6,6,52.15,21.11
02ES,qm,2,blast_step_7,7,19.08,46.17
02ES,qm,2,blast_step_8,8,39.3,66.58
02ES,qm,2,overkill_step,9,59.11,35.29
02ES,qm,2,overkill_step,10,63.54,24.55
02ES,qm,2,activate_star,1,64.4,10.69
02ES,qm,2,blast_step_1,2,62.58,7.34
02ES,qm,2,blast_step_2,3,49.27,34.05
02ES,qm,2,blast_step_3,4,49.31,27.3
02ES,qm,2,blast_step_4,5,66.42,9.02
02ES,qm,2,blast_step_5,6,60.76,23.15
02ES,qm,2,blast_step_6,7,49.42,38.86
02ES,qm,2,blast_step_7,8,53.28,45.04
02ES,qm,2,blast_step_8,9,80.25,58.04
02ES,qm,2,overkill_step,10,57.68,29.95
02ES,qm,2,activate_star,1,54.59,11.11
02ES,qm,2,blast_step_2,2,53.93,6.94
02ES,qm,2,blast_step_3,3,65.45,15.56
02ES,qm,2,blast_step_4,4,76.48,29.0
02ES,qm,2,blast_step_5,5,64.01,20.4
02ES,qm,2,blast_step_6,6,57.2,11.83
02ES,qm,2,blast_step_7,7,45.05,16.76
02ES,qm,2,blast_step_8,8,65.51,27.68
02ES,qm,2,overkill_step,9,34.06,26.36
02ES,qm,2,activate_star,1,17.93,18.15
02ES,qm,2,blast_step_1,2,25.25,22.53
02ES,qm,2,blast_step_2,3,38.3,35.1
02ES,qm,2,blast_step_3,4,33.73,31.48
02ES,qm,2,blast_step_4,5,37.44,42.0
02ES,qm,2,blast_step_5,6,43.81,48.84
02ES,qm,2,blast_step_6,7,36.94,43.09
02ES,qm,2,blast_step_7,8,57.26,62.16
02ES,qm,2,blast_step_8,9,56.29,61.37
02ES,qm,2,overkill_step,10,43.05,45.06
02ES,qm,2,activate_star,1,21.12,21.2
02ES,qm,2,blast_step_1,2,41.4,9.02
02ES,qm,2,blast_step_2,3,33.78,11.57
02ES,qm,2,blast_step_3,4,56.1,16.25
02ES,qm,2,blast_step_4,5,50.06,10.55
02ES,qm,2,blast_step_5,6,45.61,11.93
02ES,qm,2,blast_step_6,7,78.95,45.83
02ES,qm,2,blast_step_7,8,54.07,52.52
02ES,qm,2,blast_step_8,9,56.47,38.34
02ES,qm,2,overkill_step,10,44.1,37.14
02ES,qm,2,activate_star,1,44.77,12.5
02ES,qm,2,blast_step_1,2,58.44,9.04
02ES,qm,2,blast_step_2,3,67.16,34.64
02ES,qm,2,blast_step_3,4,68.17,43.28
02ES,qm,2,blast_step_4,5,45.79,14.49
02ES,qm,2,blast_step_5,6,54.11,21.11
