event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,4815,983,434,94093139,-,0,0,2572,im,1,07TS,im_log_game_1,8,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,38164,711,419,94126459,-,0,368,35921,im,1,07TS,im_log_game_1,3,holiday_home,2,0.0,47.18,747.05,449.8,20.18,10.42,15.3,16.5,12.5,14.5,16.5,20.700241544484452,751.3,446.85,7.87,110.89
activate_star,83976,1058,680,94172299,-,0,589,81733,im,1,07TS,im_log_game_1,11,blast,3,0.0,69.2,1125.35,696.0,89.45,5.47,47.46,33.2,10.8,22.0,33.2,34.912461958446876,1101.3,691.1,24.54,126.17
activate_star,97306,1321,727,94185619,-,0,804,95063,im,1,07TS,im_log_game_1,19,blast,4,0.0,40.61,1354.9,749.4,12.19,3.48,7.835,13.8,7.7,10.75,13.8,15.802847844613325,1343.9,745.4,11.81,103.8
activate_star,111643,1206,912,94199938,-,0,1159,109400,im,1,07TS,im_log_game_1,15,holiday_home,5,0.0,59.1,1247.3,952.85,8.73,11.14,9.935,11.2,11.9,11.55,11.9,16.341664541900254,1251.9,952.55,5.75,123.4
activate_star,156013,1000,915,94244338,-,0,1449,153770,im,1,07TS,im_log_game_1,9,holiday_home,6,0.0,83.05,1082.75,914.45,91.66,17.17,54.415,26.8,13.3,20.05,26.8,29.91872323479062,1051.85,928.3,36.1,129.81
activate_star,190776,693,910,94279099,-,0,1683,188533,im,1,07TS,im_log_game_1,1,holiday_home,7,0.0,89.16,776.3,876.2,20.16,30.52,25.34,15.2,19.6,17.4,19.6,24.803225596683994,757.1,906.05,34.26,123.21
activate_star,216334,781,216,94304659,-,0,1875,214091,im,1,07TS,im_log_game_1,5,blast,8,0.0,38.49,808.3,241.25,10.34,32.36,21.35,14.9,20.0,17.45,20.0,24.940128307609005,818.15,249.5,12.31,102.88
activate_star,236575,1149,227,94324899,-,0,1960,234332,im,1,07TS,im_log_game_1,13,holiday_home,9,0.0,81.85,1199.7,291.5,10.35,15.55,12.95,17.5,21.7,19.6,21.7,27.87723085243583,1158.1,303.2,44.0,146.62
activate_star,260097,1292,454,94348419,-,0,2180,257854,im,1,07TS,im_log_game_1,18,holiday_home,10,0.0,33.18,1313.8,477.8,10.06,23.18,16.62,12.7,16.5,14.6,16.5,20.821623375712086,1320.55,499.2,22.02,97.89
activate_star,5627,572,410,94377939,-,0,2393,284933,im,1,07TS,im_log_game_1,0,blast,11,0.0,74.54,633.45,452.7,7.56,31.26,19.41,11.8,18.8,15.3,18.8,22.19639610387236,616.55,444.1,19.6,136.97
activate_star,19224,789,457,94391539,-,0,2668,298530,im,1,07TS,im_log_game_1,6,holiday_home,12,0.0,62.4,835.7,501.65,23.54,65.61,44.575,19.5,37.9,28.7,37.9,42.62229463555429,818.2,502.65,19.05,127.05
activate_star,42944,1010,440,94415258,-,0,2882,322250,im,1,07TS,im_log_game_1,10,holiday_home,13,0.0,76.99,1068.2,489.6,69.05,29.15,49.099999999999994,37.3,17.6,27.45,37.3,41.24378741095439,1057.2,504.5,22.45,140.82
activate_star,77505,1221,649,94449818,-,0,3094,356811,im,1,07TS,im_log_game_1,16,blast,14,0.0,84.56,1287.3,704.15,19.1,56.09,37.595,17.6,30.4,24.0,30.4,35.12719744016024,1282.9,707.35,12.45,148.33
activate_star,91943,1287,394,94464257,-,0,3330,371249,im,1,07TS,im_log_game_1,17,blast,15,0.0,79.09,1286.0,472.8,28.39,35.16,31.775,20.3,21.4,20.85,21.4,29.496609974707262,1297.1,475.2,12.7,137.73
activate_star,107145,1156,197,94479459,-,0,3555,386451,im,1,07TS,im_log_game_1,14,blast,16,0.0,90.41,1211.6,267.3,26.79,20.96,23.875,18.9,16.1,17.5,18.9,24.827806991355477,1217.4,254.7,15.07,155.14
activate_star,119591,820,220,94491898,-,0,3630,398897,im,1,07TS,im_log_game_1,7,holiday_home,17,0.0,61.73,858.35,266.4,62.06,53.54,57.8,28.0,28.7,28.35,28.7,40.09600977653512,856.1,269.2,11.27,126.57
