event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,5755,730,618,8546765,-,0,0,3854,im,1,18KK,im_log_game_1,4,blast,1,,,,,,,,,,,,,,,,
activate_star,19518,771,862,8560524,-,0,175,17617,im,1,18KK,im_log_game_1,6,holiday_home,2,,,,,,,,,,,,,,,,
activate_star,47435,1157,794,8588444,-,0,269,45534,im,1,18KK,im_log_game_1,14,holiday_home,3,0.0,36.54,1182.6,784.1,411.44,988.74,700.09,47.9,70.2,59.05,70.2,84.98499867623697,1132.6,828.05,69.73,6.41
activate_star,81025,1333,410,8622032,-,0,355,79124,im,1,18KK,im_log_game_1,19,holiday_home,4,0.0,59.77,1329.25,469.6,27.97,14.1,21.035,16.7,14.6,15.649999999999999,16.7,22.18220007122828,1332.3,467.8,6.92,81.87
activate_star,115844,1255,192,8656848,-,0,435,113943,im,1,18KK,im_log_game_1,16,blast,5,0.0,95.75,1232.7,284.2,64.48,29.52,47.0,22.8,19.6,21.200000000000003,22.8,30.06659275674582,1244.3,260.3,27.61,121.52
activate_star,129179,574,152,8670168,-,0,676,127278,im,1,18KK,im_log_game_1,0,blast,6,0.0,61.43,589.4,212.0,15.74,20.01,17.875,13.5,20.8,17.15,20.8,24.796975622039074,606.5,199.6,21.57,77.54
activate_star,142558,762,238,8683568,-,0,920,140657,im,1,18KK,im_log_game_1,5,holiday_home,7,0.0,22.52,775.15,255.6,10.94,70.32,40.629999999999995,11.2,37.6,24.4,37.6,39.232639472765534,764.1,257.7,12.29,38.06
activate_star,166956,898,473,8707960,-,0,1075,165055,im,1,18KK,im_log_game_1,7,blast,8,0.0,61.34,846.5,439.8,19.2,515.77,267.485,15.7,67.6,41.65,67.6,69.39920748827035,857.9,511.05,72.47,85.32
activate_star,182912,1069,360,8723920,-,0,1158,181011,im,1,18KK,im_log_game_1,11,blast,9,0.0,48.29,1031.55,389.9,5.01,5.24,5.125,7.4,10.5,8.95,10.5,12.84562182223967,1052.7,398.7,23.38,82.97
activate_star,198469,1102,577,8739479,-,0,1452,196568,im,1,18KK,im_log_game_1,12,blast,10,0.0,49.43,1053.45,585.85,4.56,28.03,16.295,7.8,21.0,14.4,21.0,22.401785643113364,1073.5,578.4,21.63,83.67
activate_star,6463,1008,753,8758839,-,0,1556,213313,im,1,18KK,im_log_game_1,10,holiday_home,11,0.0,38.1,972.25,742.8,9.68,54.85,32.265,11.8,32.8,22.299999999999997,32.8,34.85799764759875,957.4,752.9,18.67,67.53
activate_star,29911,908,489,8782279,-,0,1881,236761,im,1,18KK,im_log_game_1,8,blast,12,0.0,56.07,878.3,537.1,5.84,15.89,10.865,12.1,20.5,16.3,20.5,23.804621400055915,876.5,536.7,4.8,87.81
activate_star,44244,987,293,8796599,-,0,2079,251094,im,1,18KK,im_log_game_1,9,blast,13,0.0,49.64,952.2,327.85,6.33,7.18,6.755,8.9,9.4,9.15,9.4,12.94488315899375,968.85,327.45,16.81,83.75
activate_star,59591,1117,471,8811959,-,0,2069,266441,im,1,18KK,im_log_game_1,13,blast,14,0.0,42.5,1097.1,508.3,8.1,4.68,6.39,14.6,9.0,11.8,14.6,17.151093259614676,1080.2,495.4,20.76,73.63
activate_star,73974,1265,776,8826351,-,0,2126,280824,im,1,18KK,im_log_game_1,17,blast,15,0.0,38.83,1226.45,776.2,135.79,36.64,86.215,33.8,23.0,28.4,33.8,40.88324840322745,1214.1,775.25,16.0,70.48
activate_star,89335,730,298,8841711,-,0,2062,296185,im,1,18KK,im_log_game_1,3,blast,16,0.0,19.34,735.4,315.9,45.71,19.11,32.41,24.8,15.0,19.9,24.8,28.98344354972335,736.4,326.25,13.2,42.85
activate_star,103975,693,799,8856351,-,0,2185,310825,im,1,18KK,im_log_game_1,2,blast,17,0.0,30.1,687.9,769.1,12.73,123.14,67.935,13.9,37.5,25.7,37.5,39.99324943037262,697.15,802.2,33.94,38.4
activate_star,118545,686,535,8870921,-,0,2098,325395,im,1,18KK,im_log_game_1,1,holiday_home,18,0.0,25.37,663.4,525.2,4.73,14.15,9.440000000000001,7.7,14.6,11.15,14.6,16.50605949341029,660.05,492.05,33.52,54.34
activate_star,157067,1220,198,8909440,-,0,2209,363917,im,1,18KK,im_log_game_1,15,holiday_home,19,0.0,37.2,1223.85,234.65,35.12,19.26,27.189999999999998,17.4,21.3,19.35,21.3,27.503636123247414,1220.6,238.75,7.55,57.99
activate_star,184584,1328,537,8936960,-,0,2208,391434,im,1,18KK,im_log_game_1,18,blast,20,0.0,35.95,1317.4,569.3,126.16,9.18,67.67,34.6,11.0,22.8,34.6,36.30647325202491,1287.1,575.7,30.97,63.86
activate_star,11930,1032,306,9226135,-,0,0,9979,im,2,18KK,im_log_game_2,11,blast,1,,,,,,,,,,,,,,,,
activate_star,28332,808,174,9242535,-,0,211,26381,im,2,18KK,im_log_game_2,6,blast,2,0.0,14.43,813.7,185.45,15.16,13.46,14.31,16.9,13.1,15.0,16.9,21.382703290276464,820.75,181.5,9.02,50.9
activate_star,45091,612,334,9259295,-,0,428,43140,im,2,18KK,im_log_game_2,1,blast,3,0.0,32.21,596.8,306.15,16.2,12.97,14.585,13.4,13.6,13.5,13.6,19.092406867652908,600.95,306.95,6.59,85.52
activate_star,59533,739,605,9273735,-,0,747,57582,im,2,18KK,im_log_game_2,3,blast,4,0.0,79.48,679.6,548.7,10.83,134.17,72.5,13.5,42.4,27.95,42.4,44.497303289075845,682.85,575.75,27.05,135.88
activate_star,79131,944,612,9293336,-,0,916,77180,im,2,18KK,im_log_game_2,8,blast,5,0.0,88.26,876.8,555.0,35.4,84.04,59.72,19.1,33.4,26.25,33.4,38.47557666884279,892.8,611.2,58.7,145.38
activate_star,94733,1215,533,9308936,-,0,1043,92782,im,2,18KK,im_log_game_2,13,blast,6,0.0,14.29,1207.3,544.05,131.62,4.23,67.925,34.2,9.6,21.900000000000002,34.2,35.52182427747764,1170.1,559.8,40.04,63.92
activate_star,111770,983,921,9325978,-,0,1006,109819,im,2,18KK,im_log_game_2,9,holiday_home,7,0.0,31.77,981.6,890.2,434.59,11.71,223.14999999999998,52.8,14.1,33.449999999999996,52.8,54.65025160051873,919.7,911.55,65.67,76.81
activate_star,134497,1355,170,9348698,-,0,1006,132546,im,2,18KK,im_log_game_2,19,blast,8,0.0,77.71,1277.3,169.1,29.65,31.12,30.384999999999998,17.9,18.5,18.2,18.5,25.74218327958994,1298.15,194.3,32.84,135.17
activate_star,150813,1279,811,9365018,-,0,1263,148862,im,2,18KK,im_log_game_2,16,blast,9,0.0,96.8,1182.9,800.8,11.43,14.91,13.17,12.5,15.3,13.9,15.3,19.757024067404483,1200.85,800.6,18.75,155.42
activate_star,168456,983,921,9382660,-,0,1420,166505,im,2,18KK,im_log_game_2,9,holiday_home,10,0.0,59.91,950.6,869.0,25.94,401.49,213.715,16.1,54.4,35.25,54.4,56.732442217835114,920.8,900.85,44.69,111.89
activate_star,183940,769,896,9398140,-,0,1420,181989,im,2,18KK,im_log_game_2,5,blast,11,0.0,81.27,713.8,829.6,729.46,10.35,369.90500000000003,63.2,13.0,38.1,63.2,64.52317413147,708.35,850.35,25.69,136.89
activate_star,200537,983,921,9414739,-,0,1523,198586,im,2,18KK,im_log_game_2,9,holiday_home,12,0.0,71.78,922.5,880.9,8.68,7.77,8.225,11.2,10.3,10.75,11.2,15.216109883935513,911.7,857.5,26.7,130.32
activate_star,7977,894,255,9529351,-,0,1742,309895,im,2,18KK,im_log_game_2,7,holiday_home,13,0.0,28.59,874.7,273.1,54.03,22.46,38.245000000000005,23.2,22.3,22.75,23.2,32.17965195585558,865.6,264.85,15.43,75.05
activate_star,38138,765,434,9559513,-,0,1742,340056,im,2,18KK,im_log_game_2,4,blast,14,0.0,54.77,738.2,386.9,25.98,194.44,110.21,19.3,41.6,30.450000000000003,41.6,45.8590231034199,744.65,438.75,52.46,107.5
activate_star,55900,568,189,9577275,-,0,1769,357818,im,2,18KK,im_log_game_2,0,blast,15,0.0,20.38,581.3,172.7,71.34,17.41,44.375,28.0,16.4,22.2,28.0,32.44934513977131,573.2,191.15,21.29,57.99
activate_star,69223,894,255,9590595,-,0,1906,371141,im,2,18KK,im_log_game_2,7,holiday_home,16,0.0,43.6,850.75,254.15,11.67,6.3,8.985,11.2,13.9,12.55,13.9,17.85077029150283,860.75,263.75,14.14,101.38
activate_star,93100,1013,488,9614475,-,0,2063,395018,im,2,18KK,im_log_game_2,10,holiday_home,17,0.0,65.28,948.3,500.3,8.13,12.0,10.065000000000001,9.8,14.2,12.0,14.2,17.25340546095176,942.6,507.4,10.54,121.03
activate_star,119906,1272,387,9641277,-,0,2285,421824,im,2,18KK,im_log_game_2,14,blast,18,0.0,68.22,1205.5,404.4,130.1,9.74,69.92,35.3,11.5,23.4,35.3,37.126001669988646,1240.5,399.5,35.4,122.2
activate_star,132701,1275,187,9654077,-,0,2552,434619,im,2,18KK,im_log_game_2,15,blast,19,0.0,47.08,1230.8,201.5,28.6,10.58,19.59,17.5,13.4,15.45,17.5,22.041097976280582,1238.4,200.6,8.04,100.08
activate_star,148383,1340,630,9669756,-,0,2832,450301,im,2,18KK,im_log_game_2,18,holiday_home,20,0.0,81.27,1259.1,623.1,6.51,109.63,58.07,12.8,40.0,26.4,40.0,41.9980951949014,1261.7,633.7,10.97,139.01
activate_star,174081,1049,843,9695436,-,0,2995,475999,im,2,18KK,im_log_game_2,12,blast,21,0.0,67.55,995.6,819.9,42.64,993.3,517.97,18.8,74.7,46.75,74.7,77.02940996788175,961.0,859.75,51.32,126.56
activate_star,189067,1303,891,9710436,-,0,3176,490985,im,2,18KK,im_log_game_2,17,blast,22,0.0,71.64,1237.2,922.5,8.53,154.39,81.46,9.0,34.8,21.9,34.8,35.94495792180038,1244.65,878.65,44.33,121.96
activate_star,205023,651,605,9726396,-,0,3205,506941,im,2,18KK,im_log_game_2,2,blast,23,0.0,58.15,596.8,625.0,12.03,7.32,9.675,12.3,12.0,12.15,12.3,17.184004189943625,608.5,610.85,18.83,109.94
activate_star,4549,983,448,10029148,-,0,0,2727,im,3,18KK,im_log_game_3,10,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,20433,840,249,10045028,-,0,0,18611,im,3,18KK,im_log_game_3,7,blast,2,,,,,,,,,,,,,,,,
activate_star,34074,654,352,10058668,-,0,337,32252,im,3,18KK,im_log_game_3,4,blast,3,0.0,61.69,592.9,343.4,6.11,23.05,14.58,10.1,16.8,13.45,16.8,19.60229578391266,600.0,349.1,9.59,111.52
