subject,condition,n_game,TPR,TNR,bal_acc,p_correct,p_hh,n_overkill_average
22ES,im,1,88.0,45.0,66.5,70.0,40.0,1.45
22ES,im,2,86.0,67.5,76.75,90.0,65.0,0.85
22ES,im,3,92.0,62.5,77.25,100.0,65.0,0.95
22ES,qm,1,96.0,43.75,69.88,100.0,75.0,1.55
22ES,qm,2,94.0,43.75,68.88,95.0,80.0,1.7
22ES,qm,3,94.0,43.75,68.88,100.0,25.0,1.35
23MM,im,1,81.0,85.0,83.0,95.0,70.0,0.4
23MM,im,2,73.0,87.5,80.25,90.0,100.0,0.25
23MM,im,3,78.0,71.25,74.63,90.0,85.0,0.65
23MM,qm,1,75.0,92.5,83.75,100.0,100.0,0.15
23MM,qm,2,65.0,87.5,76.25,95.0,90.0,0.25
23MM,qm,3,86.0,78.75,82.38,95.0,100.0,0.5
25PP,im,1,72.0,70.0,71.0,80.0,80.0,0.7
25PP,im,2,67.0,78.75,72.88,90.0,85.0,0.45
25PP,im,3,82.0,71.25,76.62,85.0,75.0,0.85
25PP,qm,1,85.0,53.75,69.38,95.0,50.0,1.3
25PP,qm,2,89.0,65.0,77.0,100.0,40.0,0.9
25PP,qm,3,82.0,70.0,76.0,95.0,85.0,0.75
