event_name,decision,subject,condition,res_timestamp,n_star,n_game,filename
outer_band_4,0,01TG,im,418507910,15,1,im_log_game_1
inner_band_1,0,01TG,im,418513405,17,1,im_log_game_1
inner_band_2,1,01TG,im,418514470,17,1,im_log_game_1
inner_band_3,1,01TG,im,418515497,17,1,im_log_game_1
inner_band_4,1,01TG,im,418516434,17,1,im_log_game_1
inner_band_5,1,01TG,im,418517470,17,1,im_log_game_1
inner_band_6,1,01TG,im,418518421,17,1,im_log_game_1
inner_band_7,1,01TG,im,418519470,17,1,im_log_game_1
outer_band_1,1,01TG,im,418520421,17,1,im_log_game_1
outer_band_2,1,01TG,im,418520421,17,1,im_log_game_1
outer_band_3,1,01TG,im,418520421,17,1,im_log_game_1
outer_band_4,0,01TG,im,418520421,17,1,im_log_game_1
inner_band_1,0,01TG,im,418543098,5,1,im_log_game_1
inner_band_2,1,01TG,im,418544130,5,1,im_log_game_1
inner_band_3,1,01TG,im,418545061,5,1,im_log_game_1
inner_band_4,1,01TG,im,418546099,5,1,im_log_game_1
inner_band_5,1,01TG,im,418547135,5,1,im_log_game_1
inner_band_6,1,01TG,im,418548090,5,1,im_log_game_1
inner_band_7,1,01TG,im,418549106,5,1,im_log_game_1
inner_band_8,1,01TG,im,418550139,5,1,im_log_game_1
outer_band_1,0,01TG,im,418551170,5,1,im_log_game_1
outer_band_2,0,01TG,im,418551170,5,1,im_log_game_1
outer_band_3,0,01TG,im,418551170,5,1,im_log_game_1
outer_band_4,0,01TG,im,418551170,5,1,im_log_game_1
inner_band_1,0,01TG,im,418556471,10,1,im_log_game_1
inner_band_2,1,01TG,im,418557417,10,1,im_log_game_1
inner_band_3,1,01TG,im,418558461,10,1,im_log_game_1
inner_band_4,1,01TG,im,418559496,10,1,im_log_game_1
inner_band_5,1,01TG,im,418560434,10,1,im_log_game_1
inner_band_6,1,01TG,im,418561496,10,1,im_log_game_1
inner_band_7,1,01TG,im,418562452,10,1,im_log_game_1
outer_band_1,0,01TG,im,418563486,10,1,im_log_game_1
outer_band_2,0,01TG,im,418563486,10,1,im_log_game_1
outer_band_3,0,01TG,im,418563486,10,1,im_log_game_1
outer_band_4,0,01TG,im,418563486,10,1,im_log_game_1
inner_band_1,0,01TG,im,418568910,3,1,im_log_game_1
inner_band_2,1,01TG,im,418569939,3,1,im_log_game_1
inner_band_3,1,01TG,im,418570894,3,1,im_log_game_1
inner_band_4,1,01TG,im,418571926,3,1,im_log_game_1
inner_band_5,1,01TG,im,418572861,3,1,im_log_game_1
inner_band_6,1,01TG,im,418573905,3,1,im_log_game_1
inner_band_7,1,01TG,im,418574941,3,1,im_log_game_1
inner_band_8,1,01TG,im,418575884,3,1,im_log_game_1
outer_band_1,1,01TG,im,418576930,3,1,im_log_game_1
outer_band_2,1,01TG,im,418576930,3,1,im_log_game_1
outer_band_3,0,01TG,im,418576930,3,1,im_log_game_1
outer_band_4,0,01TG,im,418576930,3,1,im_log_game_1
inner_band_1,1,01TG,im,418583701,13,1,im_log_game_1
inner_band_2,1,01TG,im,418584647,13,1,im_log_game_1
inner_band_3,1,01TG,im,418585669,13,1,im_log_game_1
inner_band_4,1,01TG,im,418586620,13,1,im_log_game_1
inner_band_5,1,01TG,im,418587683,13,1,im_log_game_1
inner_band_6,1,01TG,im,418588623,13,1,im_log_game_1
inner_band_7,1,01TG,im,418589674,13,1,im_log_game_1
outer_band_1,1,01TG,im,418590625,13,1,im_log_game_1
outer_band_2,1,01TG,im,418590625,13,1,im_log_game_1
outer_band_3,1,01TG,im,418590625,13,1,im_log_game_1
outer_band_4,0,01TG,im,418590625,13,1,im_log_game_1
inner_band_1,0,01TG,im,418608059,19,1,im_log_game_1
inner_band_2,1,01TG,im,418609000,19,1,im_log_game_1
inner_band_3,1,01TG,im,418610031,19,1,im_log_game_1
inner_band_4,1,01TG,im,418611062,19,1,im_log_game_1
inner_band_5,0,01TG,im,418612005,19,1,im_log_game_1
inner_band_6,0,01TG,im,418613030,19,1,im_log_game_1
inner_band_7,0,01TG,im,418614060,19,1,im_log_game_1
inner_band_8,0,01TG,im,418615020,19,1,im_log_game_1
outer_band_1,0,01TG,im,418616057,19,1,im_log_game_1
outer_band_2,0,01TG,im,418616057,19,1,im_log_game_1
outer_band_3,0,01TG,im,418616057,19,1,im_log_game_1
outer_band_4,0,01TG,im,418616057,19,1,im_log_game_1
inner_band_1,0,01TG,im,418621470,0,1,im_log_game_1
inner_band_2,1,01TG,im,418622501,0,1,im_log_game_1
inner_band_3,1,01TG,im,418623445,0,1,im_log_game_1
inner_band_4,1,01TG,im,418624469,0,1,im_log_game_1
inner_band_5,1,01TG,im,418625501,0,1,im_log_game_1
inner_band_6,1,01TG,im,418626467,0,1,im_log_game_1
inner_band_7,1,01TG,im,418627499,0,1,im_log_game_1
inner_band_8,1,01TG,im,418628466,0,1,im_log_game_1
outer_band_1,1,01TG,im,418629500,0,1,im_log_game_1
outer_band_2,1,01TG,im,418629500,0,1,im_log_game_1
outer_band_3,0,01TG,im,418629500,0,1,im_log_game_1
outer_band_4,0,01TG,im,418629500,0,1,im_log_game_1
inner_band_1,0,01TG,im,418636568,8,1,im_log_game_1
inner_band_2,0,01TG,im,418637501,8,1,im_log_game_1
inner_band_3,0,01TG,im,418638493,8,1,im_log_game_1
inner_band_4,0,01TG,im,418639540,8,1,im_log_game_1
inner_band_5,1,01TG,im,418640571,8,1,im_log_game_1
inner_band_6,0,01TG,im,418641589,8,1,im_log_game_1
inner_band_7,1,01TG,im,418642541,8,1,im_log_game_1
inner_band_8,1,01TG,im,418643580,8,1,im_log_game_1
